id,playtime_forever
0,8.936666666666666
1,0.6633333333333333
2,3.1066666666666665
3,0.07999999999999999
4,2.9033333333333338
5,0.043333333333333335
6,10.373333333333333
7,13.429999999999998
8,0.04666666666666667
9,1.3
10,0.043333333333333335
11,0.04666666666666666
12,0.2833333333333333
13,0.016666666666666666
14,9.146666666666667
15,0.44666666666666666
16,1.1766666666666667
17,4.13
18,0.0
19,0.82
20,0.016666666666666666
21,1.08
22,5.093333333333334
23,0.2733333333333333
24,2.5633333333333335
25,0.0
26,0.95
27,0.06333333333333332
28,0.42000000000000004
29,6.75
30,0.056666666666666664
31,2.5933333333333337
32,6.513333333333333
33,0.0
34,0.08
35,0.35
36,0.056666666666666664
37,6.3966666666666665
38,0.8766666666666667
39,0.32333333333333336
40,0.13666666666666666
41,6.553333333333333
42,2.5533333333333337
43,2.1533333333333333
44,0.056666666666666664
45,0.0
46,0.09333333333333332
47,0.37
48,2.4733333333333336
49,0.03
50,0.0
51,0.03
52,0.043333333333333335
53,1.2966666666666666
54,0.016666666666666666
55,0.16999999999999998
56,4.4833333333333325
57,6.7700000000000005
58,0.06333333333333332
59,0.72
60,0.44666666666666666
61,0.8433333333333334
62,0.4666666666666667
63,0.22333333333333333
64,0.04666666666666666
65,0.0
66,1.8733333333333335
67,0.22666666666666666
68,14.479999999999999
69,0.0
70,0.49333333333333335
71,0.04666666666666667
72,0.8300000000000001
73,0.25666666666666665
74,0.8433333333333334
75,0.03
76,1.2333333333333332
77,0.4666666666666667
78,0.0
79,0.6233333333333333
80,4.473333333333333
81,4.5233333333333325
82,0.056666666666666664
83,0.0
84,1.2600000000000002
85,0.03
86,6.953333333333333
87,3.1900000000000004
88,0.043333333333333335
89,0.0
